timestamp,ID,DLC,D0,D1,D2,D3,D4,D5,D6,D7
17.0800,1064,8,57,185,240,34,243,45,83,31
17.0900,22,8,163,113,91,113,27,188,89,44
17.1000,689,8,156,106,248,135,93,42,35,204
17.1100,1423,8,19,202,137,52,93,178,115,212
17.1200,835,8,106,36,248,163,87,229,174,168
17.1300,1136,8,24,156,97,172,180,35,203,20
17.1400,152,8,246,151,246,214,226,172,49,178
17.1500,647,8,59,145,242,221,53,130,104,198
17.1600,1263,8,142,207,222,234,95,174,51,31
17.1700,1697,8,36,240,29,41,74,230,221,216
17.1800,535,8,142,162,232,126,235,200,116,18
17.1900,1345,8,177,221,148,165,95,51,67,147
17.2000,684,8,144,20,62,166,20,22,170,91
17.2100,757,8,158,211,197,76,204,153,207,66
17.2200,1287,8,173,149,100,144,17,119,182,244
17.2300,1359,8,3,65,90,157,214,48,9,33
17.2400,1656,8,117,222,80,116,168,208,136,194
17.2500,401,8,189,192,94,2,162,93,21,99
17.2600,1096,8,48,238,179,207,55,255,45,105
17.2700,1730,8,193,159,55,28,143,205,64,35
17.2800,1012,8,172,228,30,242,247,172,38,173
17.2900,233,8,218,68,106,64,136,201,24,157
17.3000,848,8,89,3,183,208,206,146,129,50
17.3100,1477,8,110,143,103,179,99,188,111,5
17.3200,1312,8,252,149,210,221,48,119,145,251
17.3300,1611,8,24,226,147,25,222,28,254,37
17.3400,336,8,54,25,117,28,230,93,15,113
17.3500,1025,8,88,207,205,123,0,239,129,255
17.3600,776,8,17,126,6,156,161,143,68,30
17.3700,1428,8,38,204,24,124,65,127,203,157
17.3800,503,8,121,25,229,187,35,204,219,65
17.3900,1373,8,177,204,11,143,83,89,186,224
17.4000,1796,8,63,191,164,108,115,247,168,90
17.4100,55,8,176,173,130,122,155,81,2,214
17.4200,1075,8,6,189,78,38,197,0,83,208
17.4300,433,8,93,24,54,6,191,215,211,33
17.4400,902,8,106,66,235,19,162,43,144,53
17.4500,795,8,122,66,19,143,130,148,223,70
17.4600,49,8,79,130,109,170,135,159,196,164
17.4700,578,8,223,221,37,186,182,186,179,252
17.4800,1683,8,198,7,8,86,63,59,224,17
17.4900,1054,8,149,128,178,233,190,57,163,158
17.5000,1894,8,146,185,206,126,188,14,140,56
17.5100,1155,8,93,162,70,71,86,212,240,80
17.5200,1226,8,44,208,194,198,25,193,247,0
17.5300,140,8,33,52,58,172,23,21,166,248
17.5400,1371,8,163,191,35,201,188,181,199,171
17.5500,1374,8,75,121,139,20,211,210,157,165
17.5600,584,8,116,136,103,17,67,27,67,16
17.5700,310,8,25,10,23,212,90,169,39,16
